party_name,latitude,longitude,address,area
Krishna Medical & General Store,19.0760,72.8777,Shop 12 SV Road Borivali West,Borivali
Shree Pharma Depot,19.0896,72.8656,45 Link Road Malad West,Malad
City Drug House,19.1197,72.9051,7 Station Road Kandivali East,Kandivali
Bombay Medical Agencies,19.1341,72.9165,22 MG Road Dahisar,Dahisar
New India Pharma,19.0550,72.8375,88 Linking Road Bandra West,Bandra
Reliable Drug Store,19.0728,72.8826,14 IC Colony Borivali West,Borivali
Sun Pharma Distributor,19.1073,72.8732,33 Marve Road Malad West,Malad
Health Plus Depot,19.0447,72.8360,56 Hill Road Bandra West,Bandra
Medico Traders,19.1250,72.9100,9 Thakur Complex Kandivali East,Kandivali
Sample New Party,,,,
